0 15  2  3  4  5 10  7  8  9  6 11 12 13 14  1 16 17 21 19 31 18 22 23 28 30 26 27 24 29 25 20
0  1  2  3  4  5  6 25  8 31 11 21 12 13 14 15 18 16 27 26 20  7 22 23 24 19 17 10 28 29 30  9
0  1  2  3  4  5  6 15  8 11 12 13 18 16 14 21 25 27 31 26 20  7 22 23 24 19 17 10 28 29 30  9
0  1  2  3  5 15  6  8 11 12 13 18 16 14 21 25 27 31 26  4 20  7 22 23 24 19 17 10 28 29 30  9
0  1  2 14  4  5 15 19  6  8 12 10 20 13  7 30 27 31 17 18 11 21 26 24  9 25  3 22 23 28 29 16
0  1  2  6  8 25  9 11 12  5 18 21 31 10 27 24  4  7 23 20 26 13 14 22 16 19 15 17 30  3 28 29
0  1  2  6  8 25  9 11 12  5 18 21 31 10 27 24  4  7 23 20 26 13 14 22 16 19 15 17 30  3 28 29
0  1  3 15  5  6  8 12 13 18 23 16 14 21 11  9 25 27 31  2 26  4 20  7 22 24 30 19 17 10 28 29
0  1  2  6  8 25  9 11 12  5 18 21 31 10 26 27 24  4  7 23 20 13 14 22 16 19 15 17 30  3 28 29
0  1  2  6  8 25  9 11 12  5 18 21 31 10 26 27 24  4  7 23 20 13 14 22 16 19 15 17 30  3 28 29
0  1  2  6  8 31  5 18 11  9 12 21 25 10 27 24 26 17 16 29 23 20 13  7 14 22  4 19 15 30  3 28
0  1  2  6  8 31  5 18 11  9 12 21 25 10 27 24 26 17 16 29 23 20 13  7 14 22  4 19 15 30  3 28
0  1  2 25  6  8 31  5 11  9 12 21 10 24 27 17 26 16 29 23 20 18 13  7 14 22  4 19 15 30  3 28
0  1  2 25  6  8 31  5 11  9 12 21 10 24 27 17 26 16 29 23 20 18 13  7 14 22  4 19 15 30  3 28
0  1  2 25  6  8 31  5 11  9 12 21 10 24 27 17 26 16 29 23 20 18 13  7 14 22  4 19 15 30  3 28
0  1  2 25  6  8 31  5 11  9 12 21 10 24 27 17 26 16 29 23 20 18 13  7 14 22  4 19 15 30  3 28
0  1  2 25  6  8 31  5 11  9 12 21 10 24 27 17 26 16 29 23 20 18 13  7 14 22  4 19 15 30  3 28
0  1  2 25  6  8 31  5 11  9 12 21 10 24 27 17 26 16 29 23 20 18 13  7 14 22  4 19 15 30  3 28
0  1  2 25  6  8 31  5 11  9 12 21 10 24 27 17 26 16 29 23 20 18 13  7 14 22  4 19 15 30  3 28
0  1 10  4  2 25  6  8 31  5 11  9 12 21 27 26 29 23 20 18 13  7 14 22 16 24 19 15 17 30  3 28
0  1 10  4  2 25  6  8 31  5 11  9 12 21 27 26 29 23 20 18 13  7 14 22 16 24 19 15 17 30  3 28
